# MeV/fm^3               MeV/fm^3
# energy_density         pressure
2.658210354810710214e+03 8.450848485861220070e+02
2.834441110014699916e+03 8.881028469035950366e+02
3.021637197889810068e+03 9.312106625426789606e+02
3.220347418941370051e+03 9.742490491755779658e+02
3.431140119094839974e+03 1.017061967164110001e+03
3.654604401280470029e+03 1.059499602846299922e+03
3.891351552516950051e+03 1.101421560976790033e+03
4.142016708744359676e+03 1.142700361656150108e+03
4.407260792196520015e+03 1.183225514034859998e+03
4.687772775811000429e+03 1.222908620136850004e+03
4.984272339763580021e+03 1.261690206627240059e+03
5.297513077150580102e+03 1.299549528087050021e+03
5.628286489652419732e+03 1.336520454190670080e+03
5.977427365901339726e+03 1.372724684697109979e+03
6.345822249873480359e+03 1.408482356624999966e+03
6.734439417088729897e+03 1.445352191763920018e+03
7.144494682592719982e+03 1.491875748594990000e+03
7.578340356509040248e+03 1.585442294923489953e+03
8.039404762106480121e+03 1.702745132418059939e+03
8.529591098911720110e+03 1.828350275917960062e+03
9.050784604839660460e+03 1.962829803139549995e+03
9.604994319049259502e+03 2.106793619649080028e+03
1.019436121137229929e+04 2.260891663699159835e+03
1.082116683575639945e+04 2.425816137946159870e+03
1.148784252799820024e+04 2.602303734476549835e+03
1.219697917323000001e+04 2.791137790990339909e+03
1.295133756597700085e+04 2.993150282911100021e+03
1.375385938085489943e+04 3.209223505166150062e+03
1.460767876361309936e+04 3.440291217426180083e+03
1.551613453855660009e+04 3.687338900089499930e+03
1.648278300573419983e+04 3.951402567152470056e+03
1.751141126554899893e+04 4.233565268129559627e+03
1.860605095252269894e+04 4.534949954409349630e+03
1.977099217665410106e+04 4.856706872763409592e+03
2.101079736139529996e+04 5.199993811024550268e+03
2.233031468351999865e+04 5.565952678742860371e+03
2.373469124811000074e+04 5.955713661432710069e+03
2.522939102955549970e+04 6.370601565586410288e+03
2.682024044442869854e+04 6.813163359036770089e+03
2.851355989827950179e+04 7.289271675187250366e+03
3.031633900209459898e+04 7.806157115608109962e+03
3.223617870230320113e+04 8.366596957395420759e+03
3.428111760904289986e+04 8.970859175451569172e+03
3.645961972385510308e+04 9.619856985018439445e+03
3.878064225176609762e+04 1.031543206525459937e+04
